Temperature,Humidity,Voltage,Current,Power
42.90071987,43.62060306,122.1952921,3.030663292,370.3327863
51.44977629,53.38143957,107.3558466,9.602762575,1030.912706
53.03670861,57.8479175,45.00373912,4.386689783,197.4174426
131.4902717,64.60978362,107.3822061,2.184006806,234.523469
98.76914032,36.10856363,71.53431755,1.955580097,139.8910876
57.80160173,26.10311053,211.9105798,5.027948927,1065.475573
111.6055447,48.73956341,225.2125013,5.112663098,1151.435645
6.397990825,14.92037029,116.848143,2.360396276,275.8079216
110.2944277,44.38275987,49.13767872,9.251748437,454.6094423
23.27567691,11.18172519,233.4997312,9.65829367,2255.208976
112.1329897,64.26132888,212.7690994,9.971821862,2121.695557
135.833604,35.98628419,112.8877098,0.721864045,81.48957885
113.3796025,57.93062391,6.075430537,2.199309624,13.36175285
44.50897928,42.08328498,209.333606,7.719626556,1615.977264
11.17071192,24.9353787,73.67450244,5.24515384,386.4340994
100.4019285,31.22526528,7.882961418,4.56983769,36.02385419
86.54363091,39.15036033,129.540515,3.873807361,501.8150005
56.02418517,21.79068396,225.7015655,2.52564927,570.0429942
123.363849,17.74637269,165.8390781,2.361235883,391.585182
82.24870731,53.76157584,101.6692178,1.998180291,203.1534273
142.1903995,33.22090404,219.084578,6.437190752,1410.289219
112.4546543,38.78172128,232.3414674,1.033410848,240.1041928
92.92071677,59.49230366,37.98284261,6.57932469,249.9014542
116.7265132,63.02012718,2.367503452,4.712431702,11.15669832
33.52177517,16.86403528,175.4313589,8.676585591,1522.145201
81.11157893,17.44401332,205.7701093,8.794231968,1809.590073
41.19492012,31.55024908,85.68143313,1.18849615,101.8320534
90.19558025,44.15476358,120.5804609,1.570394761,189.3589241
12.85100218,38.6367798,134.9425804,1.576796992,212.7770549
92.33705174,49.08117251,211.0776686,5.577219453,1177.226479
12.62009542,38.86754712,199.3567751,5.201501874,1036.954639
109.3557548,31.34166803,79.51029057,4.206143643,334.4317033
33.95475912,18.02415101,141.588429,2.461408147,348.5069127
40.68449451,17.29238311,53.43507287,6.441347102,344.1938518
35.91797057,33.06196264,206.9663055,3.731706364,772.3374794
76.11030397,60.96635313,97.68213693,4.010918679,391.7951076
139.1616307,41.8449365,179.5303807,8.062791347,1447.516
42.06137231,16.26142262,17.30016289,9.174541576,158.7210637
112.3888351,62.08764764,178.3061315,9.701954702,1729.918011
5.540973994,62.16682445,8.98863169,4.468371551,40.16454613
76.89594996,39.67973294,146.6336087,9.882143022,1449.054293
9.265075484,43.93656786,5.859559526,0.151496741,0.887704175
53.97297488,22.3150506,156.6519728,2.598983782,407.1359368
109.3588554,31.78262061,157.6546107,6.310517812,994.8822288
32.26706845,37.2991035,84.24590253,3.307138735,278.6128875
118.217407,37.93604465,140.7836521,4.923929674,693.208802
119.1694953,49.12218576,10.72873917,0.949612257,10.18814221
75.41167417,13.21110073,128.990481,8.066314999,1040.477851
22.13839667,45.94719819,33.70943991,9.391418714,316.5794648
72.89953797,53.85580888,113.7048203,0.11918702,13.55213865
118.6107896,51.41422215,21.34090414,3.533475794,75.40756819
14.22398038,46.84559493,192.5869549,6.469789746,1245.997106
115.0408055,37.17949479,231.589167,0.793048162,183.6613633
108.1705274,22.83230939,17.49910442,5.576845557,97.58980272
124.4163665,27.89511184,144.3299152,3.073405586,443.5843677
46.43024368,10.45646148,170.4642965,7.84963408,1338.082351
136.2448427,58.89776466,129.9247225,5.174909118,672.348631
57.92440839,18.46931319,68.99564494,3.726634306,257.1215374
78.55683848,32.32477558,29.28515193,9.857283275,288.6720384
50.01352855,17.83962843,183.862964,9.996656334,1838.014864
69.66213362,46.06060921,221.7937828,8.580773547,1903.162225
93.6601492,50.3508467,221.9228854,1.531613344,339.9000526
64.26319913,41.27028651,139.3661976,7.707086459,1074.107334
52.49426086,44.37454446,155.5969103,4.719059753,734.2711168
68.9217555,45.52863602,17.33253656,1.298073636,22.49890875
109.8732303,32.83942939,189.1196946,2.691974694,509.1054319
20.16103815,38.32262509,221.2554247,4.088561704,904.6164563
108.5404256,22.57152543,120.1466198,0.313437091,37.65840702
30.39985911,41.46751963,10.13677737,3.937583818,39.91441052
41.36866076,47.53118413,96.31300078,6.836067442,658.4021689
78.9734957,13.40495375,237.310816,9.492444299,2252.659703
125.6998383,30.02879147,150.9728632,1.400685025,211.4654287
35.35927845,39.50408846,125.8087803,6.548995286,823.9211091
23.78492376,37.46478322,15.13941638,4.148449472,62.80510389
123.4506932,11.20924179,21.84090601,2.718286781,59.3698461
135.4378705,57.66448986,176.7964514,4.495233385,794.7413109
45.38364981,18.46716639,153.8019022,2.800370732,430.7023453
5.066445702,25.18068412,37.12029532,1.208476696,44.85901183
107.8662605,54.70776895,9.331804327,8.181518005,76.34832512
93.55397532,24.93116001,23.92860105,3.270165304,78.25048093
38.04053065,37.67489326,70.19224317,3.382350035,237.4147362
68.52305966,60.0497759,38.05022063,3.286147722,125.0386458
42.23288608,17.22121773,53.7692781,5.55307961,298.5850819
83.71972196,31.28892283,82.62750056,4.170635486,344.6091859
54.22183608,27.61017232,56.83129952,9.832766843,558.8089175
121.9441922,37.01946442,13.8898034,5.113824167,71.0300123
148.8171402,41.49102179,122.0032374,0.000889879,0.108568119
33.35216485,57.01009804,187.1868792,9.774642933,1829.684906
121.1045085,36.01790691,28.29497669,3.602782933,101.9406591
12.5799094,43.36092897,197.0897917,7.31506919,1441.725463
80.72217182,14.48494494,214.6095848,4.870986721,1045.360438
105.8015603,34.97316133,220.3015475,6.547702184,1442.468924
55.55200955,64.92562499,164.7672806,0.933629291,153.8315594
48.64906962,24.74983858,193.3528799,6.940535795,1341.972584
120.133361,17.42177737,177.7480148,6.799764125,1208.644574
120.2643967,51.79644437,189.2268813,4.94738328,936.1779086
70.7621647,13.37030628,163.3129407,7.739176746,1263.907713
96.68031546,51.28637807,147.7075573,6.608646138,976.1469782
125.7598382,26.0775117,3.109401401,9.623303737,29.92271412
26.2288374,39.28613457,132.4261906,0.025286165,3.34855047
11.39433786,46.26595047,161.9605023,1.262467243,204.4698288
23.77564223,16.30252062,11.22010235,4.339319726,48.68761147
92.54752678,36.71913601,104.4138394,9.668571524,1009.532674
91.87908761,25.40859148,228.3709776,1.11111591,253.7466266
108.5229977,34.18982328,164.1976708,2.05022132,336.6415653
31.2382359,59.41311757,47.26652321,7.917066023,374.2121849
120.7272594,46.88309031,58.73711509,1.393945747,81.87635177
25.54049613,51.54800456,126.314293,2.168686525,273.9361051
146.6621004,35.60615159,129.7725535,2.200721834,285.593292
